number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
24,0.9311722637362636,2026-03-29 00:48:19.346151,2026-03-29 00:48:39.571233,0 days 00:00:20.225082,0.9516278758235799,0.01604297009169538,9,66,0.3475656232597833,1000,81,6.176268300594576e-05,3.851584162860171e-06,0.6570773902319167,COMPLETE
25,0.9313619780219781,2026-03-29 00:48:39.653352,2026-03-29 00:49:00.624464,0 days 00:00:20.971112,0.7924881906210698,0.01232307602692167,10,43,0.7317958005462997,1500,50,0.0020178771973272894,0.00013221442404155718,0.643180141400781,COMPLETE
26,0.932691076923077,2026-03-29 00:49:00.734591,2026-03-29 00:49:16.943569,0 days 00:00:16.208978,0.7492253317360649,0.021339502787829413,9,28,0.025615363356958132,2000,33,0.04519201462680573,1.1297694919035579e-07,0.7116294908699762,COMPLETE
27,0.9324270769230769,2026-03-29 00:49:17.058100,2026-03-29 00:49:38.524297,0 days 00:00:21.466197,0.8743880686230352,0.01205913134415851,8,58,0.4479648166372861,1000,28,1.6168570910099232e-06,1.1614088660604258e-06,0.7728882828669296,COMPLETE
28,0.9308884395604397,2026-03-29 00:49:38.625962,2026-03-29 00:50:02.357172,0 days 00:00:23.731210,0.6868373964550246,0.018587174802911176,10,21,0.2740691853294908,1500,78,0.0001738546718388396,8.281339019525952e-06,0.8496203310045201,COMPLETE
29,0.9330275164835165,2026-03-29 00:50:02.454567,2026-03-29 00:50:10.668039,0 days 00:00:08.213472,0.6154782108622716,0.06639240268076933,9,39,0.4861353900664598,2000,21,2.7437226618508696e-05,0.0006473147521127979,0.6315609683905213,COMPLETE
30,0.9318756043956044,2026-03-29 00:50:10.751509,2026-03-29 00:50:16.875078,0 days 00:00:06.123569,0.6014118593247679,0.06529769897578278,7,79,0.770093476191074,2000,16,1.780053120640987e-05,0.0037276292806931615,0.6378390354064677,COMPLETE
31,0.9319371868131869,2026-03-29 00:50:16.974638,2026-03-29 00:50:25.828626,0 days 00:00:08.853988,0.815074512368533,0.06178387730409901,9,38,0.4995598083933786,1000,21,4.1667572679959436e-05,0.0005589261069869345,0.6899126215096383,COMPLETE
32,0.9326523516483517,2026-03-29 00:50:25.942362,2026-03-29 00:50:32.264546,0 days 00:00:06.322184,0.6877859438966079,0.0786730435075056,8,37,0.6248024580699385,3000,23,0.0008068071158642858,6.605493489524698e-05,0.6311716199647339,COMPLETE
33,0.9331004835164836,2026-03-29 00:50:32.364738,2026-03-29 00:50:42.663398,0 days 00:00:10.298660,0.648420315826924,0.039360470574719926,10,26,0.15888562569016398,1000,19,0.000316131074562954,0.0018678570578321728,0.6275688446083626,COMPLETE
34,0.9329605714285715,2026-03-29 00:50:42.765427,2026-03-29 00:50:54.103003,0 days 00:00:11.337576,0.6507090183735171,0.03786324593658201,10,23,0.1639008441199601,2000,19,0.0003139872143438551,0.0013550093607940569,0.6957732819025251,COMPLETE
35,0.9331330549450549,2026-03-29 00:50:54.212986,2026-03-29 00:51:07.363448,0 days 00:00:13.150462,0.6515731896073529,0.03980837144553058,10,30,0.14720339651646008,2000,19,0.0004002343013996888,0.0014501676189779605,0.695555332846968,COMPLETE
36,0.9330039560439561,2026-03-29 00:51:07.492733,2026-03-29 00:51:19.615379,0 days 00:00:12.122646,0.6002566753754844,0.044456618047286144,6,60,0.02363499936930813,3500,19,0.001537037634610764,0.00017515650919130442,0.625447920311442,COMPLETE
37,0.9300015384615384,2026-03-29 00:51:19.708167,2026-03-29 00:51:33.105032,0 days 00:00:13.396865,0.6255810943741563,0.05618319880105565,10,31,0.13144463311386595,2000,254,0.00038499919599516906,0.005140940467576024,0.9234643466621676,COMPLETE
38,0.9320731868131867,2026-03-29 00:51:33.190858,2026-03-29 00:51:42.961171,0 days 00:00:09.770313,0.6600967950086138,0.04103040187365966,4,46,0.5716671846554078,2500,18,0.023374487902764828,4.410636064586566e-05,0.6635342054825644,COMPLETE
39,0.9327878681318682,2026-03-29 00:51:43.072082,2026-03-29 00:51:54.682926,0 days 00:00:11.610844,0.705686896331645,0.029656634238788664,10,88,0.2831434066172687,3000,16,0.0034372197597688932,0.0009847066066518216,0.7656859058685279,COMPLETE
40,0.9323636483516482,2026-03-29 00:51:54.799251,2026-03-29 00:52:05.772740,0 days 00:00:10.973489,0.6388743283484566,0.0337005122688465,5,52,0.16825686809905205,2000,23,0.13806336419580506,0.033597483645651044,0.7003320448891428,COMPLETE
41,0.9330020659340661,2026-03-29 00:52:05.894176,2026-03-29 00:52:14.726099,0 days 00:00:08.831923,0.6063739386622576,0.04687690061202593,6,60,0.0019221517511628927,3500,18,0.0009257435841052263,0.00020419254653760991,0.6256084607071747,COMPLETE
42,0.932498901098901,2026-03-29 00:52:14.817545,2026-03-29 00:52:24.505178,0 days 00:00:09.687633,0.61737533350149,0.04234956901683714,5,66,0.04767478445952068,3500,20,0.002758426924564318,0.002512560274904601,0.6254749136951308,COMPLETE
43,0.9321153406593407,2026-03-29 00:52:24.616724,2026-03-29 00:52:32.791101,0 days 00:00:08.174377,0.6678228517366955,0.07041135091435362,6,39,0.23420677967433606,2500,28,0.00044463970780101694,0.0002426201841787592,0.6717733730603663,COMPLETE
44,0.9327671648351649,2026-03-29 00:52:32.869468,2026-03-29 00:52:45.320075,0 days 00:00:12.450607,0.6366702174674936,0.02579390648212581,6,28,0.16317005003748267,4000,19,2.842604848390327e-06,0.010899853795838889,0.649747735330638,COMPLETE
45,0.9318274285714285,2026-03-29 00:52:45.417559,2026-03-29 00:52:53.515721,0 days 00:00:08.098162,0.7131022635484229,0.04760309323431021,5,51,0.2734050440762988,3000,24,3.4897220203672836e-05,2.787384377525376e-05,0.9055380324405833,COMPLETE
46,0.9326793846153845,2026-03-29 00:52:53.621977,2026-03-29 00:53:03.638222,0 days 00:00:10.016245,0.6697098116520113,0.037301199041628805,7,77,0.09032658403512862,3500,16,0.07965986773309079,0.0011322966759881733,0.7977349004872155,COMPLETE
47,0.9315195604395605,2026-03-29 00:53:03.744758,2026-03-29 00:53:13.761480,0 days 00:00:10.016722,0.6208929803269796,0.033155482631818285,10,61,0.5174010998885368,2500,102,0.9013803397446775,9.486588734063312e-05,0.7295848952603439,COMPLETE
48,0.9320048351648351,2026-03-29 00:53:13.860622,2026-03-29 00:53:25.252535,0 days 00:00:11.391913,0.6430672782236966,0.053386304794794524,9,44,0.009289677426863818,1500,38,0.008440113339220191,0.2563343844169352,0.8356031891407731,COMPLETE
49,0.9319845274725275,2026-03-29 00:53:25.368555,2026-03-29 00:53:34.361356,0 days 00:00:08.992801,0.7412362283612914,0.05990078178010437,10,72,0.4454900150454334,4000,29,1.0227778702067936e-07,0.0004975695075461779,0.6205083049996317,COMPLETE
