trial,auc,w_exp026_attention_gpu,w_exp026_fttransformer_lite_gpu
345,0.9342235164835164,0.30050283168739766,0.6994971683126023
346,0.9344814065934066,0.7301480282285727,0.2698519717714273
347,0.9346205274725273,0.6290112313158168,0.3709887686841833
348,0.9346261098901099,0.5996995923525935,0.40030040764740643
349,0.9346307692307693,0.5299097044292743,0.4700902955707256
350,0.9331218021978023,0.06770128781287495,0.932298712187125
351,0.9341754725274725,0.8426289265337438,0.15737107346625617
352,0.9334515164835167,0.9869398787581024,0.01306012124189756
353,0.9334593406593407,0.9858307538236384,0.014169246176361635
354,0.9335910769230769,0.9652059302523557,0.03479406974764433
355,0.934565098901099,0.46145921217646063,0.5385407878235393
356,0.9337352087912087,0.94080856456597,0.05919143543403012
357,0.9346097142857143,0.6496086546010493,0.35039134539895067
358,0.9331181978021977,0.06727096021855664,0.9327290397814434
359,0.9342124395604393,0.8307137070956991,0.16928629290430083
360,0.934449802197802,0.7452367823765061,0.2547632176234938
361,0.9326946813186814,0.009939752406490919,0.990060247593509
362,0.9333710769230769,0.9985494194625292,0.0014505805374708386
363,0.9344749010989011,0.4052553805639408,0.5947446194360593
364,0.9341174505494505,0.27058611954680944,0.7294138804531906
365,0.9344506813186814,0.7448696593840256,0.2551303406159745
366,0.9343189450549451,0.7947797201733672,0.2052202798266329
367,0.9338992967032966,0.21406998870733765,0.7859300112926624
368,0.9345432087912088,0.44438026808537945,0.5556197319146206
369,0.9340382417582419,0.8780127419504596,0.1219872580495402
370,0.9327850989010991,0.02101392654392775,0.9789860734560722
371,0.9342181978021977,0.8286440963766804,0.17135590362331957
372,0.9334029890109891,0.11612776258999334,0.8838722374100066
373,0.9334934065934067,0.9806067923101214,0.019393207689878584
374,0.9344531868131867,0.3947251913296884,0.6052748086703116
375,0.9335716923076924,0.1455684298525421,0.8544315701474579
376,0.932846989010989,0.028755753307553453,0.9712442466924466
377,0.9343204395604394,0.33513028869256595,0.6648697113074342
378,0.9329543736263738,0.04329769815480865,0.9567023018451913
379,0.9338761758241759,0.9130673796442198,0.08693262035578012
380,0.9346384615384616,0.5507504548482421,0.44924954515175786
381,0.9340612307692308,0.25496376002551835,0.7450362399744818
382,0.9344725274725275,0.7329167572672134,0.26708324273278655
383,0.933816,0.19585455308094513,0.8041454469190549
384,0.933808923076923,0.1942424738453904,0.8057575261546096
385,0.9346300659340661,0.5962569252217873,0.4037430747782126
386,0.9346286153846154,0.5934993543492615,0.4065006456507384
387,0.9336558681318681,0.9540070229118598,0.04599297708814031
388,0.9337137142857141,0.9444006496370033,0.05559935036299674
389,0.9331366153846155,0.07036825739501545,0.9296317426049845
390,0.9346153406593406,0.5070871953238411,0.49291280467615906
391,0.9334163956043956,0.11832012030422212,0.8816798796957779
392,0.9336075604395604,0.9623866676719234,0.037613332328076676
393,0.9338134065934067,0.1952601414082071,0.8047398585917929
394,0.9346252747252748,0.5990713694299826,0.4009286305700175
395,0.9333911648351647,0.9958462319807481,0.004153768019251936
396,0.9327564395604396,0.017765283250535953,0.982234716749464
397,0.9333991648351647,0.11503889258584908,0.8849611074141509
398,0.9346416703296703,0.5723371137316317,0.4276628862683683
399,0.9345118681318682,0.7129181759867567,0.2870818240132433
400,0.9330082637362638,0.05132955483979746,0.9486704451602025
401,0.9343301538461538,0.33960154393592096,0.6603984560640791
402,0.9336728791208789,0.9510671621453574,0.04893283785464254
403,0.9337327032967033,0.9414043502347349,0.058595649765265045
404,0.9345114725274726,0.7127935063353882,0.2872064936646119
405,0.934453934065934,0.39451127079954773,0.6054887292004522
406,0.9346302857142856,0.5281286228602559,0.4718713771397442
407,0.9338608791208792,0.2049534136554574,0.7950465863445426
408,0.9345556043956046,0.4527937608312517,0.5472062391687481
409,0.9346033846153845,0.49155410312648357,0.5084458968735164
410,0.9327445714285714,0.016397454486612423,0.9836025455133875
411,0.9342853626373627,0.3216867948507004,0.6783132051492997
412,0.9333205714285715,0.100922329375976,0.8990776706240239
413,0.9346071648351648,0.4940291773497327,0.5059708226502673
414,0.9333226813186812,0.10130030031243714,0.8986996996875629
415,0.9340917362637365,0.8666662520308193,0.13333374796918082
416,0.9339952527472527,0.8887537316746752,0.1112462683253249
417,0.9335100659340658,0.13565494904870215,0.8643450509512979
418,0.934639824175824,0.5470495517471993,0.4529504482528008
419,0.9330671648351648,0.06019238779645922,0.9398076122035407
420,0.9344114725274725,0.7608639539721772,0.23913604602782282
421,0.9342502417582417,0.8177633865942417,0.18223661340575825
422,0.9330992087912088,0.06469042129408084,0.9353095787059191
423,0.93452610989011,0.43279268407577953,0.5672073159242206
424,0.934334901098901,0.34239052710655604,0.657609472893444
425,0.9341150769230767,0.8605256025647232,0.13947439743527684
426,0.933871164835165,0.914172720862244,0.08582727913775601
427,0.9336651868131868,0.1650846681176998,0.8349153318823003
428,0.9346432967032967,0.5569116161178204,0.4430883838821797
429,0.9338268571428572,0.9239379258154915,0.07606207418450842
430,0.9346187692307694,0.5148964087718232,0.48510359122817687
431,0.9345849230769231,0.6692787543599507,0.3307212456400494
432,0.9346420219780219,0.5687780276128831,0.43122197238711696
433,0.9345742417582418,0.6789388261085479,0.3210611738914521
434,0.9342896703296704,0.8053393634751519,0.19466063652484814
435,0.9343024615384615,0.8009687491525221,0.19903125084747783
436,0.9330495824175824,0.05737483503796551,0.9426251649620345
437,0.9345404395604398,0.4415674917163264,0.5584325082836735
438,0.9337294065934066,0.1766558074414137,0.8233441925585863
439,0.9338862857142857,0.21103621422194652,0.7889637857780536
440,0.9334083076923076,0.9934912647965355,0.0065087352034645185
441,0.9336724395604395,0.16630801025867314,0.8336919897413269
442,0.9337934065934066,0.9306602395748269,0.06933976042517306
443,0.9344662417582418,0.40232118403832773,0.5976788159616722
444,0.9341314725274725,0.2738178556290715,0.7261821443709285
445,0.9338761318681318,0.913065394862479,0.08693460513752103
446,0.9340417582417582,0.8769745130667161,0.12302548693328388
447,0.9339106373626372,0.2168584818685817,0.7831415181314183
448,0.9342997802197802,0.8015254774593762,0.19847452254062384
449,0.9343732307692308,0.35837447570498987,0.6416255242950102
450,0.9343753846153845,0.7756371682735731,0.224362831726427
451,0.934370945054945,0.7767494626649527,0.22325053733504732
452,0.9344684835164836,0.4028887530220723,0.5971112469779277
453,0.9341806593406593,0.8414671835826901,0.15853281641731
454,0.9346359560439559,0.5350738941384143,0.46492610586158567
455,0.9342815824175823,0.3205801951124879,0.6794198048875121
456,0.934022153846154,0.2439158782027187,0.7560841217972813
457,0.9336587692307692,0.1636574833211603,0.8363425166788396
458,0.9346154725274726,0.5069589095163284,0.4930410904836716
459,0.933950945054945,0.8976483082494547,0.10235169175054527
460,0.9341950329670329,0.2927013253954926,0.7072986746045073
461,0.9333321318681318,0.10292104486520223,0.8970789551347977
462,0.9346413626373626,0.5474851027205104,0.45251489727948957
463,0.9344006593406593,0.36988418178012106,0.6301158182198789
464,0.9338548131868132,0.20380205061498133,0.7961979493850186
465,0.9346427252747254,0.5554016193732276,0.4445983806267724
466,0.9344442637362638,0.7480296082795432,0.25197039172045665
467,0.9336906813186814,0.1693433047962415,0.8306566952037584
468,0.934534989010989,0.7006733755380528,0.2993266244619473
469,0.9327415824175824,0.015926928427060397,0.9840730715729396
470,0.9339118241758242,0.21721149572194604,0.7827885042780539
471,0.9345185934065934,0.4280713226674787,0.5719286773325214
472,0.933812967032967,0.19523603341538287,0.8047639665846171
473,0.9342896263736263,0.8056505602750251,0.19434943972497498
474,0.9344570549450549,0.397099639278612,0.602900360721388
475,0.9346243516483518,0.5242158701466199,0.47578412985338003
476,0.9327145494505493,0.012378584285461318,0.9876214157145387
477,0.9345276043956043,0.7048312609138294,0.29516873908617064
478,0.9345956923076923,0.6591001971962858,0.34089980280371424
479,0.934536,0.4396074575734,0.5603925424266001
480,0.9344918241758241,0.7247805326426856,0.2752194673573144
