number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
27,0.931810021978022,2026-03-29 01:15:07.720077,2026-03-29 01:15:37.122452,0 days 00:00:29.402375,0.6659304813492402,1.4804575899207444,0.04142219544564042,5,7.737244657930435,1500,0.08334394937669905,0.004636816969982361,0.6005906900903129,COMPLETE
28,0.9323151868131867,2026-03-29 01:15:37.218549,2026-03-29 01:16:30.878067,0 days 00:00:53.659518,0.8277686591368518,1.9121647651076448,0.016444738861820456,9,4.513203625348417,1000,2.7456215092936244e-07,0.009187692199068459,0.6988930119409071,COMPLETE
29,0.9306417582417582,2026-03-29 01:16:30.983779,2026-03-29 01:16:53.425835,0 days 00:00:22.442056,0.6042605578822609,3.00120582375693,0.07580283894524358,9,11.57293093180068,1500,0.02428886102249583,4.094212609865728,0.6396626612027068,COMPLETE
30,0.9326890549450548,2026-03-29 01:16:53.538052,2026-03-29 01:17:41.267564,0 days 00:00:47.729512,0.7095219271537232,2.6988430522112563,0.027362708840699752,8,6.123214182204972,2000,1.213742168543881,0.03978960093692258,0.8754006721464518,COMPLETE
31,0.9324564835164835,2026-03-29 01:17:41.373687,2026-03-29 01:18:21.533794,0 days 00:00:40.160107,0.7055575720748213,2.9373656839562656,0.028063580983787566,8,5.923168108282207,2000,0.6723347371078325,0.029759950837657395,0.8803938297479369,COMPLETE
32,0.9323949450549449,2026-03-29 01:18:21.627874,2026-03-29 01:19:03.347415,0 days 00:00:41.719541,0.6583957953540186,2.595232686510678,0.023015363582560566,8,3.167104430053305,2000,1.0406660410983202,0.06140033296903723,0.7635719578206748,COMPLETE
33,0.9320161318681317,2026-03-29 01:19:03.429819,2026-03-29 01:20:13.267088,0 days 00:01:09.837269,0.7435384031849384,2.1484292729564354,0.010153595631169694,10,9.898514634587865,1500,0.23053561093344707,0.11884215072689466,0.7686564000341466,COMPLETE
34,0.9317133186813187,2026-03-29 01:20:13.375504,2026-03-29 01:20:49.052732,0 days 00:00:35.677228,0.6532863620859644,3.252849306851605,0.038034215234213506,7,8.656068694263128,2000,4.911972487842092,0.010014644996545155,0.9436857355718793,COMPLETE
35,0.9318664835164836,2026-03-29 01:20:49.158868,2026-03-29 01:21:40.654069,0 days 00:00:51.495201,0.6870702676776242,3.5082055246073054,0.03177461301740268,9,13.583908286559552,1000,1.726664220639343e-07,0.8545345133734282,0.8783547221751052,COMPLETE
36,0.9328278901098902,2026-03-29 01:21:40.761285,2026-03-29 01:22:43.508435,0 days 00:01:02.747150,0.7194109609524324,4.993204662796431,0.012549473389197947,8,4.643253825321233,1500,0.03147032754713845,0.03428637754478599,0.6971556011274652,COMPLETE
